order,stage,active,show,name,insert,delete,where,remarks,meer remarks
1,1,1,,vnotzeg,"?x :prop ""vnotzeg""",,"?x :pos ""V"" 
FILTER NOT EXISTS {?x :lexclass ""zeg""}",,
2,1,1,,vc-te-body->vc,?komen :rel_vc ?leek,?te :rel_vc ?leek,"?te :lemma ""te"";
       :rel_vc ?leek.
?komen :rel_body ?te.",,
4,1,1,,lowestv,"?x :prop ""lowestv""",,"?x :pos ""V"" 
FILTER NOT EXISTS {?y :rel_vc+ ?x; :pos ""V"" }",,
6,1,1,,dubbelpunt,"?x :rel_su ?y.
?y :quoteobj ?u.
?y :prop ""lowestv""","?x ?p ?y.
?u :rel_nucl ?x","{?x :pos ""M"";?p ?y} UNION {?x :pos ""N"";?p ?y}.
?y :lemma "":"".
?u :rel_nucl ?x",,
8,1,1,,laat weten=zeg,"?x :lexclass ""zeg""",,"?x :lemma ""laat""; :pos ""V"". 
?u :lemma ""weet""; :rel_svp ?x",,
10,1,1,,conjunction,?x ?p ?y,?en ?p ?y,"?x :rel_cnj ?en.
?en ?p ?y
FILTER  isIRI(?y) ",,
11,1,1,,conjoined tag,?y :rel_tag ?x,?y :rel_tag ?en,"?x :rel_cnj ?en.
?y :rel_tag ?en","646682 ""x EN y"", zegt piet",
12,1,,,coref,?hij :coref_cand ?jan,,"?hij :lexclass ""persvnw"" .
?jan :pos ""M"" 
FILTER NOT EXISTS {?hij :rel ?c. ?jan :rel* ?c}",,
13,1,1,,lijdende vorm 1,"?x :su ?cop.
?y :obj ?cop",,"?cop :lexclass ""copula"".
?x :rel_obj1 ?door.
?door :lemma ""door""; :rel_pc/:rel_predc ?cop.
?y :rel_su ?cop",67051 vvd verrast,
14,1,1,,lijdende vorm 2,?nieuwsu :su ?y,,"?nieuwsu :rel_obj1 ?door.
?door :lemma ""door""; :rel_mod ?y.
?y :prop ""lowestv""
FILTER NOT EXISTS {?u :rel_su ?y. ?u :su ?y}
","67051 vvd verrast
2170173 y is om leven gebracht door x",
15,1,1,,"lijdende vorm 3, rea","[] :lemma ""reality""; :lexclass ""reality""; :su ?geslagen.
?piet :obj ?geslagen",,"?piet :rel_su ?wordt; :rel_obj1 ?geslagen.
?wordt :lexclass ""copula"".
?geslagen :prop ""lowestv""
FILTER NOT EXISTS {?jan :su ?geslagen}","748195 drugsvondsten worden stilgehouden => door wie? Rea-zin
(maar alleen als er geen subject is)",
15,1,1,,"lijdende vorm 4, rea","[] :lemma ""reality""; :lexclass ""reality""; :su ?gestopt.
?aanpak :obj ?gestopt",,"?aanpak :rel_obj1/ :rel_pc ?gestopt.
?gestopt :prop ""lowestv"";
    :rel_vc /:lexclass ""copula"".","[Er moet] worden gestopt met de aanpak
523334 gestopt met aanpak",
19,1,1,,"Qobj ""…"", zegt X",?x :quoteobj ?y,,"?x :lexclass ""zeg"" ;  :rel_tag|:rel_dp ?y .
FILTER NOT EXISTS {?z  :quoteobj ?y}","?x :lexclass ""zeg"" ;  :rel_nucl ?y.
?y ?p ?z.
?z :lemma '""'",
20,1,1,,x dubbelpunt quote,?x :quoteobj ?y,,"?x :lexclass ""zeg"" ;  :rel_nucl ?y .
?y ?z [ :lemma ':']
FILTER NOT EXISTS {?z  :quoteobj ?y}",697517 rel_nucl toegevoegd,
20,1,1,,gequoteerde in bijzin,?z :quoteobj ?x,,"?z    :lexclass ""zeg"";  :rel_tag ?x .
FILTER NOT EXISTS {?z  :quoteobj ?y}",,
21,1,1,,Qobj X laat zeggen Y,?z :quoteobj ?y,,"?u :lexclass ""zeg"" ; :rel_svp ?x.
?z :rel_su ?x.
?y :rel_body / :rel_vc ?x","dubieuze regel, 513370 bewindsman heeft als quoteobj wil, maar oplossen wordt niet aan wil bekoppeld",
22,1,1,1,Qobj X zegtdat Y,?x :quoteobj ?y,,"?x :lexclass ""zeg"" .
?y (:rel_body/:rel_vc) ?x",,
23,1,,,Qobj X zegt dat reeks,?x :quoteobj ?y,,"?x :lexclass ""zeg"" .
?y :rel_vc/:rel_body/:rel_vc ?x",,
24,1,1,1,Qobj X zegt Y,?x :quoteobj ?y,,"?x :lexclass ""zeg"" .
?y :rel_vc|:rel_nucl ?x
FILTER NOT EXISTS {?x  :quoteobj ?z}",,
25,1,,,Qobj X zegt Y (dobj),?x :quoteobj ?y,,"?x :lexclass ""zeg"" .
?y :rel_obj1 ?x",geeft te veel ellende,
26,1,1,,Qobj X zegt voltooide tijd,?x :quoteobj ?y,,"?x :lexclass ""zeg"" ; :rel_tag ?z. 
?z :lexclass ""copula"".
?y :rel_vc  ?z",,
28,1,1,,volgens quote,?piet :quote ?gaat,,"?volgens :lexclass ""volgens""; :rel_mod|:rel_tag  ?gaat.
?piet :rel_obj1 ?volgens
FILTER NOT EXISTS {?jan :su ?volgens}","Volgens piet gaat het nergens over
regel 523334 teeven snelle aanpak
748195 volgens hem worden ..
670752 rel_tag",
29,1,1,,zoals samsom beweerde,?samsom :quote ?razernij,,"?beweerde :lexclass ""zeg""; :rel_body ?zoals.
?zoals :lexclass ""zoals""; :rel_mod ?razernij.
?samsom :rel_su ?beweerde.","16248512 razernij, zoals samsom beweerde",
40,1,,,pc obj,?x :obj ?y,,?x :rel_obj1 [:rel_pc ?y],,
50,1,0,,Hier-reality,"?x :su ?y.
?z :obj ?y",,"?x :lexclass ""reality"";  :rel_mod ?y.
?z :rel_su ?y
","voorwaarde weggehaald 657038
?y :lexclass ""copula"";",
60,1,1,,active subj,?x :su ?y,,"?x :rel_su ?y. 
?y :prop ""lowestv""
FILTER NOT EXISTS {?u :su ?y}
","regelvolgorde ""active subj"" > ""subj met cnj"" werkt niet altijd goed",
62,1,,,subj met cnj,?z :su ?y,,"?z  :rel_mod/:rel_su ?y. 
?y :prop ""lowestv""
FILTER NOT EXISTS {?u :su ?y}","conjunctie van actoren als subject, als dit niet door ""prepared""+ active subj opgevangen wordt
ZIN VOORBEELD?",
64,1,,,hij die doet,?x :su ?y,?z :su ?y,"?z :rel_mod ?x; 
     :su ?y;
     :lexclass ""die""",,
66,1,,,volgens  jezelf doen,?u :su ?y,,"?x :lexclass ""volgens""; :rel_mod  ?y.
?y :prop ""vnotzeg""; :prop ""lowestv"".
?u :rel_obj1 ?x
FILTER NOT EXISTS {?u :quote ?y.}","regel 523334 teeven snelle aanpak
748195 volgens hem worden ..
BEIDE ZINNEN DOEN HET VOLGENS MIJ GOED ZONDER DEZE REGEL??",
68,1,1,,samen met su doen,?piet :su ?x, ,"?jan :su ?x.
?piet :rel_obj1/:rel_pc ?samen.
?samen :rel_predm ?x;
               :lemma ""samen""","Jan stemt samen met piet
654725 samen tegen dubbelbenoemingen
",
69,1,1,,ism met su doen,?x :su ?y,,"?x :rel_obj1 ?z.
?z :lemma ""in samenwerking met""; :rel_mod ?y. 
?y :prop ""lowestv""
FILTER NOT EXISTS {?zz :obj ?y}","2020743, 2415136, alleen als degene waarmee je samenwerkt niet het object van samenwerking is
2138977 regel gaat niet goed, omdat de regel hier in aanvulling op regel lijdende vorm 1 zou moeten werken ",hoe regel uit te breiden met samen met
70,1,1,1,mening via rel_body rel_vc,?y :quoteobj ?x,?z :obj ?y,"?x :rel_body ?u;  :prop ""vnotzeg"".
?u :rel_vc ?z.
?z :obj ?y; :lexclass ""mening""",,
71,1,1,,quote,?x :quote ?y,?x :su ?z. ?z :quoteobj ?y ,"?x :su|:rel_su ?z.
{?z :quoteobj ?y} UNION {?z :quoteobj/:quoteobj ?y} ","963 UmbertoEco-incorrect, maar recursieve quote wordt directe quote",
74,1,1,,meewerkend vw,?x :obj ?y,,"?x :rel_obj2 ?y. ?y :prop ""vnotzeg""",,
76,1,1,,voorzetselvoorwerp 1,?piet :obj ?wil, ,"?piet :rel_obj1 ?van.
?van :lemma ""van"";
         :rel_mod/:rel_obj1  ?wil. 
?wil :pos ""V"".
FILTER NOT EXISTS {?u  :obj ?wil}
FILTER NOT EXISTS {?piet :su ?wil}","627906 jan wil opheldering van piet; 
670949 x eist schadevergoeding van y;
werkt wel, maar slordig in combinatie met en-cnj
conditie prop ""vnotzeg"" afgezwakt tot pos ""V"" ivm 676285",
78,1,1,,voorzetselvoorwerp 2,?x :obj ?y,,"?x :rel_obj1 ?aan.
?aan :rel_ld  ?y. 
?y :prop ""vnotzeg""
FILTER NOT EXISTS {?z  :obj ?y}
FILTER NOT EXISTS {?aan :lexclass ""tijd of middel""}
","694421 x legt het accent op y 
","2020743 schoonschip komt als het ware te laat; rel_obj1 is het echte object, maar het object staat nu ""dubbel"" met de su die voortvloeit uit samenwerking.
Dus toch alternatief: bij elke objectregel uitsluiten dat het beestje al als :su gebrandmerkt was ?"
80,1,1,,voorzetselvoorwerp 3,?piet :obj ?halen,,"?piet :rel_obj1  ?bij. 
?bij :rel_mod  ?halen. 
?halen :prop ""vnotzeg""
FILTER NOT EXISTS {?jan :obj ?bij}
FILTER NOT EXISTS {?bij :lexclass ""tijd of middel""}
FILTER NOT EXISTS {?piet :su ?halen} ","697516 jan gaat verhaal halen bij piet;
2090443 voorbeeld waar in een plaatsbepaling inluidt, 
dus in maar buitengesloten","schoonschip te laat, toch :su uitdrukkelijk uitsluiten.
Resterend probleem in 2020743: anafora, dat verwijst naar vitaliteitspakker (rechtstreekse rel_mod relatie in dit geval)"
82,1,1,,lijdend voorwerp 1,?x :obj ?y,,"?y :prop ""vnotzeg"".
?x :rel_obj1 ?y
FILTER NOT EXISTS {?z  :obj ?y}
FILTER NOT EXISTS {?x  :su ?y}
","volgorde lastig, lijdend voorwerp voor of na voorzetselvoorwerp 1 en 2, voor 3??",
84,1,1,,voorzetselvoorwerp 4,?x :obj ?y,,"?x :rel_obj1/:rel_pc  ?y. 
?y :prop ""vnotzeg""
FILTER NOT EXISTS {?z  :obj ?y; :quoteobj ?y}","632584 x viel op bij y;
642791 x staat ﾅ tegenover y 
",
86,1,,,voorzetselvoorwerp 5,?x :obj ?y,,"?x :rel_obj1  ?u. ?u :rel_mod  ?y. 
?y :prop ""vnotzeg""
FILTER NOT EXISTS {?z  :obj ?y}","misschien schadelijk, complement van 4",
87,1,1,,pleidooi voor,"?haar :su ?pleidooi.
?staat :obj ?pleidooi.",,"?haar :rel_det ?pleidooi.
?pleidooi :lexclass ""pleidooi"".
?staat :rel_obj1/:rel_mod ?pleidooi",656349 haar pleidooi voor de staat,
88,1,1,,lijdend voorwerp 2,?x :obj ?y,,"?y :lexclass ""zeg"".
?x :rel_obj1 ?y
FILTER NOT EXISTS {?z  :obj ?y}
FILTER NOT EXISTS {?y :quoteobj ?z}",697517 zeg-werkwoorden niet als zeg-categorie gebruikt,
