"id","subject","rel","object","optioneel","remarks"
8049680,-1,"su",4,,
8049680,7,"obj",4,,"Not a full sentence, how to deal with this?"
8049679,0,"su",2,,
8049679,7,"obj",5,,
8049678,14,"obj",4,,
8049678,0,"su",4,,
8049677,27,"obj",26,,
8049677,7,"om",26,,
8049677,23,"obj",22,,
8049677,14,"obj",13,,
8049677,7,"om",22,,
8049677,7,"om",13,,
8049677,2,"obj",7,,
8049677,9,"su",7,,
8049676,0,,,,"wrong parse (and weird sentence)"
8049675,2,"su",10,,
8049675,13,"obj",10,,
8049674,0,"su",1,,
8049674,3,"obj",1,,
8049673,0,,,,"wrong parse"
8049672,0,,,,"sentence needs to be split"
8049671,0,,,,"sentence needs to be split"
8049670,0,"eqv",5,,
8049669,3,"su",4,,
8049669,5,"obj",4,,
8049669,3,"su",11,,
8049669,13,"obj",11,,"parse error but roles ok"
8049668,0,"obj",9,,
8049668,11,"su",9,,
8049666,0,"su",2,,
8049666,11,"obj",8,,
8049665,0,,,,"sentence needs to be split"
8049664,25,"obj",22,,
8049664,17,"obj",16,,
8049664,3,"su",8,,
8049664,12,"obj",8,,
8049664,3,"su",20,,
8049664,3,"su",14,,
8049663,3,"su",5,,"difficult: X is located in Y, how to deal. Meaning in indirect object?"
8049663,8,"obj",5,,
8049663,13,"su",15,,
8049663,19,"obj",15,,
8049662,0,,,,"sentence needs to be split"
8049661,12,"obj",10,,
8049661,1,"su",2,1,"parse weird but ok"
8049661,1,"su",10,,
8049660,10,"obj",1,,"parse incorrect (make as noun), maybe capitals? Predicate ""make use of"""
8049660,0,"su",1,,
8049681,3,"su",6,,
8049681,8,"obj",6,,
14155407,0,"eqv",4,,
14154939,,,,,
14155224,,,,,
14156191,1,"su",2,,
14156191,5,"obj",2,,
14156573,,,,,
14156549,0,"quote",8,,
14156549,11,"eqv",14,,
14156549,11,"eqv",16,,
14156083,0,"quote",1,,
14156083,5,"su",6,,
14156083,10,"obj",6,,
14156083,15,"su",19,1,
14156083,21,"su",23,,
14156083,27,"obj",23,,
14156083,20,"om",23,,
14156083,15,"su",20,,
14200279,5,"su",6,,
14200279,7,"obj",6,,
14200279,23,"su",24,,
14200279,21,"su",24,,
14200279,15,"su",19,,
